架次编号,需要中继,通信状态,中继位置,中继海拔,服务开始,服务结束,直连采样,中继采样,中断采样
T001,False,直连,,,0.0,2501.0,63,0,0
T002,False,直连,,,0.0,2430.1,63,0,0
T003,False,直连,,,0.0,2104.0,63,0,0
T004,False,直连,,,0.0,2006.6,42,0,0
T005,False,直连,,,0.0,1859.8,42,0,0
T006,False,直连,,,0.0,1266.7,42,0,0
T007,False,直连,,,0.0,2109.7,42,0,0
T008,False,直连,,,0.0,1710.6,42,0,0
T009,False,直连,,,1710.6,4080.0,84,0,0
T010,False,直连,,,1266.7,3151.7,63,0,0
T011,False,直连,,,1859.8,3411.3,42,0,0
T012,False,直连,,,2104.0,4793.9,84,0,0
T013,False,直连,,,2006.6,3612.7,42,0,0
T014,False,直连,,,2778.9,4946.3,42,0,0
T015,False,直连,,,2501.0,5082.6,63,0,0
T016,False,直连,,,3151.7,5368.7,63,0,0
T017,False,直连,,,4793.9,7730.5,84,0,0
T018,False,直连,,,3452.1,5758.8,63,0,0
T019,False,直连,,,5368.7,7265.8,42,0,0
T020,False,直连,,,3382.3,5569.3,42,0,0
T021,False,直连,,,5082.6,7437.8,42,0,0
T022,False,直连,,,3612.7,5571.8,63,0,0
T023,False,直连,,,4080.0,6148.1,63,0,0
T024,False,直连,,,5758.8,7643.8,63,0,0
